"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"chr17-46188963-46189417",1.35673822039242e-15,0.562055884814464,0.122,0.006,1.18797355315781e-10,"B","chr17-46188963-46189417"
"chr3-5052399-5055597",1.41345815367833e-15,0.501149447141434,0.395,0.134,1.23763809394228e-10,"B","chr3-5052399-5055597"
"chr10-97591800-97592630",1.41653748349475e-15,0.557234204744553,0.231,0.041,1.24033438592283e-10,"B","chr10-97591800-97592630"
"chr12-57628183-57629139",1.4214864458691e-15,0.579743963127336,0.17,0.019,1.24466774686745e-10,"B","chr12-57628183-57629139"
"chr9-84742878-84743360",1.47321540025735e-15,0.580115058525452,0.122,0.006,1.28996213661934e-10,"B","chr9-84742878-84743360"
"chr8-110537210-110537780",1.57301351699826e-15,0.558668405750356,0.129,0.008,1.37734636561885e-10,"B","chr8-110537210-110537780"
"chr2-240302339-240303880",1.57952858646323e-15,0.526871571309888,0.32,0.084,1.38305102559306e-10,"B","chr2-240302339-240303880"
"chr12-27031789-27032025",1.60137043301139e-15,0.539259174234906,0.102,0.002,1.40217596484911e-10,"B","chr12-27031789-27032025"
"chr10-1704022-1705009",1.67697500094745e-15,0.544035321460169,0.122,0.007,1.4683760805796e-10,"B","chr10-1704022-1705009"
"chrX-46613952-46614477",1.70074222665647e-15,0.567765824643425,0.129,0.008,1.48918690108267e-10,"B","chrX-46613952-46614477"
"chr11-14335718-14336051",1.70080965574857e-15,0.546173492806985,0.109,0.004,1.48924594267e-10,"B","chr11-14335718-14336051"
"chr12-11883424-11885326",1.72110842070606e-15,0.575380729790902,0.17,0.021,1.50701974425443e-10,"B","chr12-11883424-11885326"
"chr15-53001882-53002636",1.87076261253495e-15,0.55254597467832,0.122,0.006,1.63805845116173e-10,"B","chr15-53001882-53002636"
"chr9-140180727-140181735",1.90166813875078e-15,0.564135795751253,0.143,0.011,1.66511963897157e-10,"B","chr9-140180727-140181735"
"chr2-218729678-218730200",1.97175908030795e-15,0.555444662523951,0.109,0.005,1.72649196830845e-10,"B","chr2-218729678-218730200"
"chr6-132675504-132676308",2.03495157247149e-15,0.588088164699122,0.184,0.021,1.78182394637176e-10,"B","chr6-132675504-132676308"
"chr1-46509065-46509716",2.1500365545661e-15,0.576015126072862,0.163,0.018,1.88259350754362e-10,"B","chr1-46509065-46509716"
"chr1-182453566-182454244",2.16354558392191e-15,0.576618401877675,0.177,0.02,1.89442214873787e-10,"B","chr1-182453566-182454244"
"chr18-77220283-77221000",2.29737842152029e-15,0.552773766821246,0.116,0.005,2.01160751966738e-10,"B","chr18-77220283-77221000"
"chr19-38413688-38414006",2.39705468368122e-15,0.533706352697971,0.102,0.003,2.09888505157811e-10,"B","chr19-38413688-38414006"
"chr10-121237545-121238643",2.4328317053754e-15,0.563418340138631,0.143,0.011,2.13021176954376e-10,"B","chr10-121237545-121238643"
"chr3-104245770-104246371",2.44433829040681e-15,0.552309041899555,0.136,0.008,2.1402870504631e-10,"B","chr3-104245770-104246371"
"chr10-97501600-97501930",2.5145529318253e-15,0.538138629934379,0.109,0.004,2.20176769263555e-10,"B","chr10-97501600-97501930"
"chr11-75535305-75535968",2.56885021807599e-15,0.571191731884741,0.17,0.021,2.24931093944952e-10,"B","chr11-75535305-75535968"
"chr5-126323508-126324361",2.58911349425314e-15,0.562217936592178,0.17,0.018,2.26705366670299e-10,"B","chr5-126323508-126324361"
"chr17-62002886-62003399",2.61659567846754e-15,0.506608010094084,0.109,0.004,2.29111734202297e-10,"B","chr17-62002886-62003399"
"chr5-173172044-173172621",2.65047033606229e-15,0.568393724412954,0.156,0.014,2.3207783309595e-10,"B","chr5-173172044-173172621"
"chr2-33709614-33710169",2.70697131627813e-15,0.564828594326713,0.136,0.008,2.3702511542463e-10,"B","chr2-33709614-33710169"
"chr1-49215733-49216262",2.70971419711326e-15,0.570913191320391,0.15,0.012,2.37265284813434e-10,"B","chr1-49215733-49216262"
"chr9-93536859-93537381",2.94622670272515e-15,0.571837020328724,0.163,0.016,2.57974556317317e-10,"B","chr9-93536859-93537381"
"chr2-10518218-10518865",3.09753005849217e-15,0.552942700925465,0.143,0.013,2.71222829451633e-10,"B","chr2-10518218-10518865"
"chr8-81058933-81059691",3.13929339504281e-15,0.559114130176303,0.116,0.007,2.74879668963344e-10,"B","chr8-81058933-81059691"
"chr11-60699298-60700597",3.15889572027812e-15,0.564947478112268,0.15,0.015,2.76596068163272e-10,"B","chr11-60699298-60700597"
"chr8-41522538-41523597",3.16813746413042e-15,0.570445693481149,0.163,0.014,2.77405284496724e-10,"B","chr8-41522538-41523597"
"chr22-39495005-39496593",3.23515394145275e-15,0.541401890731134,0.224,0.044,2.83273314267545e-10,"B","chr22-39495005-39496593"
"chr21-44198078-44198522",3.30194734140138e-15,0.550336013807523,0.122,0.006,2.89121811160446e-10,"B","chr21-44198078-44198522"
"chr9-126370442-126370828",3.30233009177281e-15,0.542742991445738,0.109,0.004,2.89155325165719e-10,"B","chr9-126370442-126370828"
"chr12-95211772-95212447",3.35843620768949e-15,0.556943358780545,0.136,0.009,2.940680327815e-10,"B","chr12-95211772-95212447"
"chr7-2878547-2879010",3.35863231924217e-15,0.542811133751374,0.116,0.005,2.94085204505164e-10,"B","chr7-2878547-2879010"
"chr1-22192215-22193042",3.38896850718831e-15,0.571961467248081,0.156,0.014,2.96741471457916e-10,"B","chr1-22192215-22193042"
"chr16-86024369-86024835",3.42717903457381e-15,0.55118687821585,0.109,0.004,3.00087223446317e-10,"B","chr16-86024369-86024835"
"chrY-22925739-22926138",3.549928375591e-15,0.545958017143069,0.116,0.006,3.10835278495124e-10,"B","chrY-22925739-22926138"
"chr19-54850273-54851403",3.58640060241505e-15,0.565048953942073,0.204,0.03,3.14028823148064e-10,"B","chr19-54850273-54851403"
"chr7-128776963-128777756",3.59007937574279e-15,0.574233493417264,0.17,0.019,3.14350940219414e-10,"B","chr7-128776963-128777756"
"chr16-81842435-81843188",3.59610966888517e-15,0.571599014516785,0.184,0.024,3.14878958717254e-10,"B","chr16-81842435-81843188"
"chr10-11720094-11720519",3.74350512492154e-15,0.549399771728895,0.122,0.005,3.27785052243255e-10,"B","chr10-11720094-11720519"
"chr17-73293340-73294224",3.76063320337183e-15,0.55966635380553,0.259,0.055,3.29284803920441e-10,"B","chr17-73293340-73294224"
"chr11-76348337-76349061",3.93616177210881e-15,0.592607821996394,0.197,0.027,3.44654260927619e-10,"B","chr11-76348337-76349061"
"chr11-66378962-66379416",3.94920912311905e-15,0.552825419680918,0.109,0.005,3.45796700029427e-10,"B","chr11-66378962-66379416"
"chr19-50921462-50923248",3.95204443571633e-15,0.561175192145641,0.156,0.013,3.46044962835758e-10,"B","chr19-50921462-50923248"
"chr14-71822613-71823105",4.17737192822979e-15,0.566265804690367,0.143,0.011,3.65774863407729e-10,"B","chr14-71822613-71823105"
"chr5-133264303-133264877",4.28951730725259e-15,0.541839055726881,0.109,0.004,3.75594424940344e-10,"B","chr5-133264303-133264877"
"chr20-60914617-60915240",4.36792775244042e-15,0.558969754053468,0.136,0.008,3.82460121931436e-10,"B","chr20-60914617-60915240"
"chr13-32539811-32540188",4.42287031272814e-15,0.538663847681137,0.116,0.005,3.87270947452789e-10,"B","chr13-32539811-32540188"
"chr16-2947165-2947504",4.47326385719357e-15,0.53266436558171,0.102,0.003,3.91683456599726e-10,"B","chr16-2947165-2947504"
"chr5-124161223-124161606",4.55920846543206e-15,0.52463851395775,0.116,0.005,3.99208852441697e-10,"B","chr5-124161223-124161606"
"chr2-30659609-30660267",4.59380665698281e-15,0.550844967198412,0.129,0.008,4.02238304692072e-10,"B","chr2-30659609-30660267"
"chr2-25388789-25389326",4.59833440241683e-15,0.562486332916195,0.163,0.015,4.0263475861002e-10,"B","chr2-25388789-25389326"
"chr6-143273621-143274225",4.70497451964257e-15,0.554233311027697,0.15,0.014,4.11972273914423e-10,"B","chr6-143273621-143274225"
"chr8-125649369-125650477",4.82456178145355e-15,0.515205374142806,0.265,0.071,4.22443454145854e-10,"B","chr8-125649369-125650477"
"chr8-129279644-129280305",5.05200186046664e-15,0.563335209451791,0.156,0.018,4.42358334904319e-10,"B","chr8-129279644-129280305"
"chr12-4938499-4939291",5.12938765769777e-15,0.553361738065444,0.156,0.018,4.49134312695675e-10,"B","chr12-4938499-4939291"
"chr13-47557128-47558421",5.20668786212474e-15,0.580726592939241,0.17,0.02,4.55902795895505e-10,"B","chr13-47557128-47558421"
"chr1-20404767-20405189",5.22985874838039e-15,0.544121868261775,0.116,0.004,4.57931661866935e-10,"B","chr1-20404767-20405189"
"chr8-6285938-6286944",5.27321783402612e-15,0.552392926102136,0.15,0.011,4.61728226765161e-10,"B","chr8-6285938-6286944"
"chr1-160458127-160458746",5.37648924827107e-15,0.535298957470064,0.102,0.003,4.70770775067863e-10,"B","chr1-160458127-160458746"
"chr10-76613670-76614214",5.52112130329748e-15,0.566331493234589,0.136,0.009,4.83434902438031e-10,"B","chr10-76613670-76614214"
"chr6-169989305-169990448",5.58827267929366e-15,0.556512678945176,0.177,0.024,4.89314744071632e-10,"B","chr6-169989305-169990448"
"chr10-121128734-121130124",5.71632669576739e-15,0.564427628444956,0.143,0.011,5.00527281808088e-10,"B","chr10-121128734-121130124"
"chr8-29743303-29743741",5.94658462143938e-15,0.544042358355905,0.116,0.005,5.20688896037854e-10,"B","chr8-29743303-29743741"
"chr17-20580814-20581204",6.22154042234158e-15,0.547904882849536,0.109,0.005,5.44764300920651e-10,"B","chr17-20580814-20581204"
"chr4-150960941-150961340",6.34077325856941e-15,0.527739588558714,0.116,0.005,5.55204447293596e-10,"B","chr4-150960941-150961340"
"chr17-37949108-37951137",6.39199825191465e-15,0.543379788178907,0.184,0.026,5.59689758935899e-10,"B","chr17-37949108-37951137"
"chr17-73562900-73563268",6.66028724267039e-15,0.52486395044541,0.109,0.005,5.83181411255462e-10,"B","chr17-73562900-73563268"
"chr8-30413289-30414202",6.71351150453849e-15,0.558856890875676,0.163,0.017,5.87841780848895e-10,"B","chr8-30413289-30414202"
"chr2-12172499-12172948",6.89460376748598e-15,0.532555995739599,0.102,0.003,6.0369840048484e-10,"B","chr2-12172499-12172948"
"chr19-17865330-17867110",7.13361775983953e-15,0.560131183195494,0.238,0.049,6.24626704669309e-10,"B","chr19-17865330-17867110"
"chr12-111106836-111108348",7.21912052048005e-15,0.557998954636044,0.17,0.019,6.32113411893754e-10,"B","chr12-111106836-111108348"
"chr8-145264587-145264988",7.4942284114903e-15,0.523906307071465,0.109,0.005,6.56202133938503e-10,"B","chr8-145264587-145264988"
"chr5-34742883-34743430",7.64995896607772e-15,0.545569254635192,0.136,0.009,6.69838057028731e-10,"B","chr5-34742883-34743430"
"chr19-49894155-49895727",7.76832077179999e-15,0.538973812915447,0.224,0.044,6.80201935099579e-10,"B","chr19-49894155-49895727"
"chr6-47428925-47429382",7.79278524272503e-15,0.539676963885478,0.116,0.006,6.82344068638246e-10,"B","chr6-47428925-47429382"
"chr3-156696165-156696875",7.98835749006161e-15,0.545004155506124,0.129,0.009,6.99468570187285e-10,"B","chr3-156696165-156696875"
"chr11-129988111-129989387",8.01870700012568e-15,0.559544125355327,0.19,0.029,7.02126003638005e-10,"B","chr11-129988111-129989387"
"chr16-11403675-11404178",8.45030398464307e-15,0.528817118505733,0.109,0.005,7.39917067199332e-10,"B","chr16-11403675-11404178"
"chr2-25643619-25645319",8.59911027067952e-15,0.567604151435886,0.177,0.021,7.5294669441097e-10,"B","chr2-25643619-25645319"
"chr7-6764538-6765197",9.20501538623619e-15,0.570528178275874,0.184,0.023,8.06000352234227e-10,"B","chr7-6764538-6765197"
"chr11-45047472-45048205",9.49675212286851e-15,0.561351718933417,0.163,0.018,8.31545112630489e-10,"B","chr11-45047472-45048205"
"chr12-120570659-120571238",1.00977054699378e-14,0.548152199248097,0.122,0.007,8.8416518865322e-10,"B","chr12-120570659-120571238"
"chr14-71824919-71825703",1.04153276260792e-14,0.56406192721272,0.136,0.01,9.11976502267121e-10,"B","chr14-71824919-71825703"
"chr19-2627195-2628043",1.04755995544062e-14,0.571301303061602,0.177,0.025,9.17253972583357e-10,"B","chr19-2627195-2628043"
"chr18-43747723-43748482",1.07295740800418e-14,0.552402646868307,0.245,0.048,9.39492236022544e-10,"B","chr18-43747723-43748482"
"chr20-13639860-13640401",1.08610232448939e-14,0.557063221316244,0.136,0.009,9.51002056346154e-10,"B","chr20-13639860-13640401"
"chr5-158380870-158381470",1.09407374986539e-14,0.549846259878401,0.129,0.009,9.57981916119634e-10,"B","chr5-158380870-158381470"
"chr5-17318617-17319044",1.11464147195366e-14,0.540287739774627,0.116,0.006,9.75991219257348e-10,"B","chr5-17318617-17319044"
"chr13-77912748-77913896",1.15622693088609e-14,0.557876893307069,0.19,0.027,1.01240386295317e-09,"B","chr13-77912748-77913896"
"chr19-41193022-41194134",1.27275544186149e-14,0.545511357829479,0.272,0.054,1.11443739244833e-09,"B","chr19-41193022-41194134"
"chr6-107114460-107114966",1.28951948468203e-14,0.56055671587301,0.143,0.011,1.12911615598243e-09,"B","chr6-107114460-107114966"
"chr2-135011017-135011845",1.29259320667818e-14,0.530250154849031,0.129,0.008,1.13180753769948e-09,"B","chr2-135011017-135011845"
"chr10-3944277-3945314",1.34039343964027e-14,0.559199278214136,0.197,0.03,1.17366189968341e-09,"B","chr10-3944277-3945314"
"chr2-235073044-235073705",1.37769988499094e-14,0.546044760601271,0.156,0.015,1.20632779629691e-09,"B","chr2-235073044-235073705"
"chr7-151097672-151098221",1.43810574546284e-14,0.52534624896685,0.109,0.005,1.25921977178472e-09,"B","chr7-151097672-151098221"
"chr1-107993556-107993984",1.47057754133329e-14,0.512542627942135,0.102,0.003,1.28765240096684e-09,"B","chr1-107993556-107993984"
"chr16-87734295-87736566",1.53311013708599e-14,0.54004819231713,0.177,0.025,1.34240656713387e-09,"B","chr16-87734295-87736566"
"chr8-6283745-6284266",1.54329463997891e-14,0.540632988809054,0.136,0.009,1.35132421971194e-09,"B","chr8-6283745-6284266"
"chr20-15788392-15788844",1.56052711662018e-14,0.551886425488237,0.116,0.006,1.36641314858379e-09,"B","chr20-15788392-15788844"
"chr1-36698253-36698653",1.67372515283396e-14,0.532774681832177,0.109,0.005,1.46553048107294e-09,"B","chr1-36698253-36698653"
"chr3-44099881-44100359",1.70167061846777e-14,0.541922308897516,0.116,0.006,1.48999981023657e-09,"B","chr3-44099881-44100359"
"chr7-108192284-108192694",1.73265959107147e-14,0.536486191643856,0.109,0.005,1.51713406453809e-09,"B","chr7-108192284-108192694"
"chr9-92122302-92122976",1.73280316175712e-14,0.548334769593176,0.136,0.012,1.51725977646615e-09,"B","chr9-92122302-92122976"
"chr18-30464517-30464934",1.74073096165591e-14,0.538337746609666,0.109,0.005,1.52420143733553e-09,"B","chr18-30464517-30464934"
"chr1-64358526-64359198",1.81095362694369e-14,0.564203817624405,0.156,0.016,1.58568910528816e-09,"B","chr1-64358526-64359198"
"chr7-90401737-90402110",1.88925781687558e-14,0.533215205458931,0.102,0.003,1.65425303703443e-09,"B","chr7-90401737-90402110"
"chr1-226884779-226885764",1.89479430800617e-14,0.54654286387537,0.136,0.012,1.65910084403328e-09,"B","chr1-226884779-226885764"
"chr2-60673811-60674345",1.89961632723175e-14,0.541206041537181,0.122,0.007,1.66332305228739e-09,"B","chr2-60673811-60674345"
"chr10-1462989-1463551",1.90839143381738e-14,0.516781580796467,0.116,0.007,1.67100662336483e-09,"B","chr10-1462989-1463551"
"chr6-13261266-13262986",1.93222331979785e-14,0.523740723044914,0.32,0.088,1.69187406104819e-09,"B","chr6-13261266-13262986"
"chr2-225502906-225503479",2.06841877493248e-14,0.527868519784978,0.122,0.007,1.81112816351863e-09,"B","chr2-225502906-225503479"
"chr16-88077592-88078432",2.16722977770525e-14,0.540167121083618,0.259,0.049,1.89764806565649e-09,"B","chr16-88077592-88078432"
"chr16-88725-89451",2.22680145431069e-14,0.541477679157255,0.17,0.021,1.94980962140898e-09,"B","chr16-88725-89451"
"chr5-1371614-1372129",2.22978283835931e-14,0.537165418717842,0.122,0.006,1.95242015109579e-09,"B","chr5-1371614-1372129"
"chr19-50847788-50848644",2.23053704090185e-14,0.535423925499206,0.279,0.063,1.95308053838407e-09,"B","chr19-50847788-50848644"
"chr15-77375947-77376801",2.23092447875559e-14,0.519190086016755,0.272,0.065,1.95341978284319e-09,"B","chr15-77375947-77376801"
"chr17-56582207-56582806",2.27624396829571e-14,0.551736305766175,0.17,0.021,1.99310198107941e-09,"B","chr17-56582207-56582806"
"chr11-128711349-128711978",2.2895430500233e-14,0.513734410692471,0.116,0.006,2.0047467900309e-09,"B","chr11-128711349-128711978"
"chr6-139592112-139592599",2.40764221160973e-14,0.551171976163878,0.136,0.01,2.10815559690759e-09,"B","chr6-139592112-139592599"
"chr1-27147062-27148049",2.46419640169632e-14,0.512632404067468,0.306,0.084,2.15767501128931e-09,"B","chr1-27147062-27148049"
"chr3-46228206-46228951",2.48251677488593e-14,0.551061493260653,0.136,0.009,2.17371651325787e-09,"B","chr3-46228206-46228951"
"chr20-5672535-5672955",2.53878032067459e-14,0.521271320974345,0.102,0.004,2.22298143658588e-09,"B","chr20-5672535-5672955"
"chr19-38496801-38497598",2.56310367036995e-14,0.536431269066692,0.129,0.01,2.24427920481263e-09,"B","chr19-38496801-38497598"
"chr5-123392397-123393562",2.67481418469155e-14,0.556180713996766,0.197,0.029,2.34209404825776e-09,"B","chr5-123392397-123393562"
"chr12-132555553-132556210",2.73991532267769e-14,0.517390316368937,0.109,0.005,2.39909725568981e-09,"B","chr12-132555553-132556210"
"chr9-96030926-96031622",2.86911294920619e-14,0.540334652068091,0.129,0.009,2.51222398945444e-09,"B","chr9-96030926-96031622"
"chr8-96225095-96227363",2.87022620261274e-14,0.545327985612049,0.245,0.046,2.51319876526974e-09,"B","chr8-96225095-96227363"
"chr5-124040500-124040963",2.87989191514058e-14,0.534237717905507,0.116,0.005,2.52166215981624e-09,"B","chr5-124040500-124040963"
"chr19-11548711-11549226",3.0282529762253e-14,0.518032791077355,0.116,0.006,2.65156858851264e-09,"B","chr19-11548711-11549226"
"chr18-52736755-52737162",3.18477162153571e-14,0.532160054010851,0.102,0.005,2.78861787953288e-09,"B","chr18-52736755-52737162"
"chr8-81011900-81012711",3.3379754064218e-14,0.502821212171182,0.116,0.006,2.92276464561699e-09,"B","chr8-81011900-81012711"
"chr3-9836810-9837581",3.3921331565236e-14,0.547831397318878,0.197,0.029,2.97018571318363e-09,"B","chr3-9836810-9837581"
"chr5-176498521-176499262",3.4076851481116e-14,0.549022196280914,0.17,0.022,2.98380319253799e-09,"B","chr5-176498521-176499262"
"chr2-65257647-65259659",3.45007634821582e-14,0.545787132089064,0.156,0.018,3.02092135126125e-09,"B","chr2-65257647-65259659"
"chr12-87674199-87674489",3.45969654300125e-14,0.516603215686915,0.109,0.004,3.02934489001733e-09,"B","chr12-87674199-87674489"
"chr3-20167150-20168064",3.48973515140964e-14,0.547378806803892,0.231,0.05,3.0556469959258e-09,"B","chr3-20167150-20168064"
"chr7-90366343-90367101",3.49214009981945e-14,0.557710505260444,0.156,0.019,3.05775279280291e-09,"B","chr7-90366343-90367101"
"chr3-17780892-17781299",3.57012857865371e-14,0.514560122789915,0.109,0.005,3.12604028475498e-09,"B","chr3-17780892-17781299"
"chr17-2833316-2834825",3.574622756447e-14,0.541763543202322,0.156,0.018,3.12997543177256e-09,"B","chr17-2833316-2834825"
"chr8-142109461-142109825",3.83789472911152e-14,0.506908381929203,0.102,0.003,3.36049900375734e-09,"B","chr8-142109461-142109825"
"chr1-222905808-222906245",3.88493162270723e-14,0.532558031641646,0.129,0.008,3.40168497815868e-09,"B","chr1-222905808-222906245"
"chr8-11415396-11416859",4.03842041941646e-14,0.533113145770647,0.211,0.038,3.53608130344525e-09,"B","chr8-11415396-11416859"
"chr10-14784699-14785198",4.16957777766536e-14,0.523822275850596,0.122,0.007,3.65092399790157e-09,"B","chr10-14784699-14785198"
"chr1-207627251-207628485",4.42876433657323e-14,0.526789102493302,0.224,0.045,3.87787034074689e-09,"B","chr1-207627251-207628485"
"chr1-24239609-24240258",4.60246676557555e-14,0.534667805477978,0.143,0.014,4.02996592460561e-09,"B","chr1-24239609-24240258"
"chr7-90338097-90338498",4.68490334245861e-14,0.518283517970581,0.102,0.004,4.10214821569018e-09,"B","chr7-90338097-90338498"
"chr4-141728895-141729634",4.9182557076547e-14,0.558334983911389,0.177,0.022,4.30647388017953e-09,"B","chr4-141728895-141729634"
"chr19-38523716-38525617",4.93623625547203e-14,0.519347566391203,0.293,0.073,4.32221782765386e-09,"B","chr19-38523716-38525617"
"chr6-149293528-149294054",5.30035561222667e-14,0.533402194819396,0.116,0.007,4.64104437762179e-09,"B","chr6-149293528-149294054"
"chr7-23412769-23413531",5.88700619180896e-14,0.514355833401299,0.116,0.007,5.15472149160985e-09,"B","chr7-23412769-23413531"
"chr22-18506427-18507813",5.90698015397714e-14,0.531050447613059,0.184,0.031,5.17221089262392e-09,"B","chr22-18506427-18507813"
"chr11-130050412-130051916",5.91297867678953e-14,0.533210587520905,0.143,0.014,5.17746325918368e-09,"B","chr11-130050412-130051916"
"chr5-141799059-141799812",6.19391023467563e-14,0.54393249834459,0.129,0.01,5.42344974058433e-09,"B","chr5-141799059-141799812"
"chr9-114745677-114746233",6.39290894097094e-14,0.52232035778594,0.116,0.007,5.59769499780356e-09,"B","chr9-114745677-114746233"
"chr22-38558002-38558587",6.64949054567293e-14,0.528077101545408,0.15,0.016,5.82236041669667e-09,"B","chr22-38558002-38558587"
"chr16-134572-135351",6.9815067332667e-14,0.535240919487906,0.136,0.013,6.11307711071565e-09,"B","chr16-134572-135351"
"chr12-46502462-46502943",7.02206072339043e-14,0.534831002340827,0.116,0.005,6.14858659000789e-09,"B","chr12-46502462-46502943"
"chr15-59543445-59543802",7.94230247664912e-14,0.50462264857964,0.109,0.005,6.95435947157874e-09,"B","chr15-59543445-59543802"
"chr1-229615783-229616659",8.62192287110476e-14,0.532903270160794,0.129,0.01,7.54944188516804e-09,"B","chr1-229615783-229616659"
"chr6-32604722-32605526",8.62360974447042e-14,0.511105823085698,0.293,0.072,7.55091892835575e-09,"B","chr6-32604722-32605526"
"chr19-7816006-7816570",8.64987043099872e-14,0.542032587287237,0.15,0.014,7.57391304808679e-09,"B","chr19-7816006-7816570"
"chr5-10700124-10700591",8.98667254630748e-14,0.50671196235577,0.102,0.004,7.86882034827229e-09,"B","chr5-10700124-10700591"
"chr19-6527711-6529354",9.0284863894522e-14,0.518653764429311,0.238,0.057,7.90543296746824e-09,"B","chr19-6527711-6529354"
"chr19-2486107-2486483",9.20346369575729e-14,0.516876893030562,0.102,0.004,8.05864484664204e-09,"B","chr19-2486107-2486483"
"chr6-7277661-7278734",9.2083108865988e-14,0.533253290823441,0.156,0.017,8.06288909541478e-09,"B","chr6-7277661-7278734"
"chr9-117328830-117329269",9.44514784541773e-14,0.517174711770746,0.116,0.008,8.27026590492622e-09,"B","chr9-117328830-117329269"
"chr21-36599071-36600439",9.53426988939201e-14,0.52438781336649,0.218,0.035,8.34830205785053e-09,"B","chr21-36599071-36600439"
"chr15-70613807-70614955",9.58105815097008e-14,0.529785602326357,0.15,0.015,8.38927032757091e-09,"B","chr15-70613807-70614955"
"chr22-22711508-22712184",9.82793880587493e-14,0.527841275125914,0.15,0.019,8.60544149781215e-09,"B","chr22-22711508-22712184"
"chr12-14766536-14768223",1.01699038257513e-13,0.51328400685083,0.306,0.077,8.90486948886613e-09,"B","chr12-14766536-14768223"
"chr12-8129812-8130684",1.10690476260371e-13,0.531236618150893,0.15,0.015,9.69216879183432e-09,"B","chr12-8129812-8130684"
"chr17-1376456-1378271",1.11907921824106e-13,0.526767033188383,0.163,0.023,9.79876954284059e-09,"B","chr17-1376456-1378271"
"chr22-48493751-48495035",1.14901484741202e-13,0.503628410554692,0.218,0.043,1.00608889054244e-08,"B","chr22-48493751-48495035"
"chr1-205260720-205261192",1.1632199717347e-13,0.50780123104386,0.109,0.006,1.01852703945062e-08,"B","chr1-205260720-205261192"
"chr19-38419047-38419605",1.16322983756455e-13,0.543036824104574,0.15,0.018,1.01853567806989e-08,"B","chr19-38419047-38419605"
"chr12-95114895-95115374",1.26204161765821e-13,0.521335294184209,0.116,0.007,1.1050562608377e-08,"B","chr12-95114895-95115374"
"chr8-110656539-110657682",1.31440145408969e-13,0.52326163407776,0.204,0.032,1.15090305721547e-08,"B","chr8-110656539-110657682"
"chr5-134237641-134238397",1.31653594537419e-13,0.538494442670813,0.17,0.024,1.15277203912909e-08,"B","chr5-134237641-134238397"
"chr12-32291885-32293184",1.34071394419411e-13,0.518035620568567,0.218,0.041,1.1739425366758e-08,"B","chr12-32291885-32293184"
"chr6-157982550-157983512",1.37073530248302e-13,0.513812792700833,0.129,0.011,1.20022953820716e-08,"B","chr6-157982550-157983512"
"chr4-101028012-101028602",1.41669612208658e-13,0.532479399776404,0.143,0.016,1.24047329146023e-08,"B","chr4-101028012-101028602"
"chr20-61469192-61470204",1.49557400769974e-13,0.520156784986192,0.143,0.014,1.30953955688197e-08,"B","chr20-61469192-61470204"
"chr3-72225535-72227246",1.50825128266486e-13,0.534436973263764,0.231,0.04,1.32063990561418e-08,"B","chr3-72225535-72227246"
"chr2-231758839-231759559",1.60014263761706e-13,0.527771468711476,0.136,0.013,1.40110089492387e-08,"B","chr2-231758839-231759559"
"chr6-399705-400346",1.60818763423181e-13,0.523961847560848,0.143,0.016,1.40814517440972e-08,"B","chr6-399705-400346"
"chr2-60544931-60545484",1.62168997713783e-13,0.538867958242884,0.15,0.014,1.41996796088165e-08,"B","chr2-60544931-60545484"
"chr10-64216238-64216923",1.62510764289239e-13,0.550374106637773,0.17,0.02,1.422960503193e-08,"B","chr10-64216238-64216923"
"chr13-28021022-28021742",1.64252745876598e-13,0.523677154572086,0.15,0.016,1.43821346817008e-08,"B","chr13-28021022-28021742"
"chr18-60952598-60953010",1.74553791424507e-13,0.505965863124759,0.102,0.004,1.52841045309212e-08,"B","chr18-60952598-60953010"
"chr6-110910970-110911499",1.74966653330485e-13,0.53195375870095,0.122,0.012,1.53202551322706e-08,"B","chr6-110910970-110911499"
"chr18-22544140-22544682",1.79343674139131e-13,0.534709082100982,0.15,0.018,1.57035114512964e-08,"B","chr18-22544140-22544682"
"chr3-46424977-46425816",1.86639516792918e-13,0.51794164702546,0.129,0.011,1.63423427299047e-08,"B","chr3-46424977-46425816"
"chr10-126228247-126229306",1.86999447888191e-13,0.523751110658212,0.19,0.03,1.63738586565379e-08,"B","chr10-126228247-126229306"
"chr19-1933123-1933670",1.88893577744445e-13,0.523842085258863,0.122,0.009,1.65397105608813e-08,"B","chr19-1933123-1933670"
"chr6-159548011-159548582",2.01099878399902e-13,0.527178291861103,0.136,0.012,1.76085064525738e-08,"B","chr6-159548011-159548582"
"chr21-35392144-35393232",2.0849246676024e-13,0.530219968570082,0.19,0.031,1.82558088819934e-08,"B","chr21-35392144-35393232"
"chr9-132785033-132785942",2.20909900489781e-13,0.508185842949889,0.136,0.014,1.93430917967857e-08,"B","chr9-132785033-132785942"
"chr17-39276515-39276939",2.29470040709783e-13,0.502279862295919,0.102,0.006,2.00926262345893e-08,"B","chr17-39276515-39276939"
"chr12-123599411-123600566",2.46455348707754e-13,0.533992605300942,0.15,0.015,2.15798767881997e-08,"B","chr12-123599411-123600566"
"chr3-186742399-186744312",2.52940198720645e-13,0.518031482677053,0.197,0.035,2.21476967401784e-08,"B","chr3-186742399-186744312"
"chr9-137366751-137367479",2.73610453360121e-13,0.501179773996703,0.102,0.005,2.39576049066656e-08,"B","chr9-137366751-137367479"
